id,name,first_release_date,genres,rating,rating_count,aggregated_rating,aggregated_rating_count,release_year,release_age_days,initial_platform_count_30d,initial_platform_group,lifetime_platform_count,expanded_after_30d,rating_count_log
11161,South Park: The Fractured But Whole,2017-10-17,Adventure|Role-playing (RPG)|Strategy,79.46007716161927,343,84.66666666666667,18,2017,3219,3,multi,4,True,5.840641657373398
11171,Tom Clancy's Ghost Recon: Wildlands,2017-03-06,Adventure|Shooter|Tactical,72.55029084409676,278,72.9,20,2017,3444,3,multi,6,True,5.631211781821365
11177,Gang Beasts,2017-12-12,Fighting|Indie,72.94122044778943,154,64.6,5,2017,3163,5,multi,7,True,5.043425116919247
11233,What Remains of Edith Finch,2017-04-24,Adventure|Indie|Puzzle,83.51541564936163,980,86.95238095238095,21,2017,3395,2,multi,8,True,6.8885724595653635
11364,"Warhammer 40,000: Inquisitor - Martyr",2017-08-31,Adventure|Indie|Role-playing (RPG),60.9481052876433,21,62.0,4,2017,3266,1,single,5,True,3.091042453358316
11544,Paladins,2017-05-02,Shooter|Strategy,71.20087432283634,276,78.83333333333333,6,2017,3387,2,multi,5,True,5.6240175061873385
11550,Endless Space 2,2017-05-18,Strategy|Turn-based strategy (TBS),82.23240936194483,55,80.14285714285714,7,2017,3371,2,multi,2,False,4.02535169073515
11560,AER: Memories of Old,2017-10-25,Adventure|Indie|Puzzle,62.70917894208647,72,68.0,4,2017,3211,5,multi,6,True,4.290459441148391
11567,Elex,2017-10-17,Adventure|Role-playing (RPG),70.43464483622098,102,59.66666666666666,3,2017,3219,3,multi,3,False,4.634728988229636
11590,The Surge,2017-05-15,Adventure|Role-playing (RPG),71.28946027671239,106,72.0909090909091,11,2017,3374,3,multi,3,False,4.672828834461906
11602,Road Redemption,2017-10-04,Adventure|Arcade|Indie|Racing|Simulator,65.04963306626726,28,73.5,2,2017,3232,3,multi,6,True,3.367295829986474
11631,Hiveswap: Act 1,2017-09-14,Adventure|Indie|Point-and-click|Puzzle|Role-playing (RPG),98.11291492705027,22,75.0,1,2017,3252,3,multi,3,False,3.1354942159291497
11633,Sky Rogue,2017-08-24,Arcade|Indie|Shooter|Simulator,80.0,4,,0,2017,3273,3,multi,5,True,1.6094379124341003
11667,Dragon Quest XI: Echoes of an Elusive Age,2017-07-29,Adventure|Role-playing (RPG)|Turn-based strategy (TBS),84.79750744399331,135,84.0,11,2017,3299,1,single,2,True,4.912654885736052
11797,LawBreakers,2017-08-08,Shooter|Sport,61.69388179422418,10,78.78571428571429,14,2017,3289,2,multi,2,False,2.3978952727983707
11800,Divinity: Original Sin II,2017-09-14,Adventure|Role-playing (RPG)|Strategy,87.71907932870238,456,91.3076923076923,13,2017,3252,2,multi,3,True,6.124683390894205
12206,Inner Chains,2017-05-18,Adventure|Shooter,49.44203509182519,6,,0,2017,3371,1,single,1,False,1.9459101490553132
12511,Battle Chasers: Nightwar,2017-10-03,Indie|Role-playing (RPG)|Strategy|Turn-based strategy (TBS),78.68728087875864,58,77.9090909090909,11,2017,3233,4,multi,8,True,4.07753744390572
12519,Tooth and Tail,2017-09-12,Arcade|Indie|Real Time Strategy (RTS)|Strategy,88.31910243209138,23,82.0,5,2017,3254,4,multi,4,False,3.1780538303479458
12523,Faeria,2017-03-08,Adventure|Card & Board Game|Indie|Puzzle|Role-playing (RPG)|Strategy|Tactical|Turn-based strategy (TBS),78.13421862979675,24,82.5,2,2017,3442,4,multi,8,True,3.2188758248682006
13163,Syberia 3,2017-04-20,Adventure|Point-and-click|Puzzle,65.57758832032826,58,44.0,8,2017,3399,4,multi,7,True,4.07753744390572
13365,Cryptark,2017-06-20,Adventure|Indie|Shooter|Strategy,79.53128377137477,9,80.0,1,2017,3338,4,multi,4,False,2.302585092994046
13554,Styx: Shards of Darkness,2017-03-14,Adventure|Role-playing (RPG),73.86403424637754,39,70.71428571428571,14,2017,3436,3,multi,3,False,3.6888794541139363
13619,Press X to Not Die,2017-10-06,Adventure|Indie,50.23353713541145,6,60.0,1,2017,3230,3,multi,3,False,1.9459101490553132
14172,Everspace,2017-05-25,Fighting|Indie|Shooter|Simulator,72.10617235476987,40,82.5,4,2017,3364,5,multi,7,True,3.713572066704308
14363,Gran Turismo Sport,2017-10-17,Racing|Simulator|Sport,74.2648055474807,104,77.25,8,2017,3219,2,multi,2,False,4.653960350157523
14364,Matterfall,2017-08-15,Arcade|Shooter,73.60136967755051,12,67.84615384615384,13,2017,3282,1,single,1,False,2.5649493574615367
14389,Friday the 13th: The Game,2017-05-25,Indie,66.48058210771072,98,60.875,8,2017,3364,3,multi,4,True,4.59511985013459
14390,Outlast II,2017-04-25,Adventure|Indie,70.20371876162923,242,77.88235294117646,17,2017,3394,4,multi,5,True,5.493061443340548
14394,Battle Brothers,2017-03-24,Adventure|Indie|Role-playing (RPG)|Simulator|Strategy|Tactical|Turn-based strategy (TBS),78.9971055015744,66,80.25,4,2017,3426,1,single,4,True,4.204692619390966
14404,Kona,2017-03-17,Adventure|Indie|Puzzle,72.37236505079247,62,76.66666666666667,3,2017,3433,6,multi,10,True,4.143134726391533
14761,Rain World,2017-03-28,Adventure|Indie|Platform,75.49884403309478,84,62.09090909090909,11,2017,3422,2,multi,6,True,4.442651256490317
14763,Hob,2017-09-26,Adventure|Indie|Platform|Puzzle,80.27647532717424,69,72.125,8,2017,3240,2,multi,2,False,4.248495242049359
15490,Shiness: The Lightning Kingdom,2017-04-18,Adventure|Fighting|Indie|Role-playing (RPG),80.0,2,67.66666666666667,12,2017,3401,3,multi,3,False,1.0986122886681098
15911,The Journey Down: Chapter Three,2017-09-21,Adventure|Indie|Point-and-click|Puzzle,75.93151045993912,10,80.0,2,2017,3245,4,multi,7,True,2.3978952727983707
16287,Slime Rancher,2017-08-01,Adventure|Indie|Shooter|Simulator|Strategy,74.96385305810512,243,77.66666666666667,3,2017,3296,2,multi,5,True,5.497168225293202
16468,Wild Terra,2017-12-18,Adventure|Indie|Role-playing (RPG),50.0,2,,0,2017,3157,4,multi,4,False,1.0986122886681098
16682,Space Pirates and Zombies 2,2017-11-07,Adventure|Indie|Role-playing (RPG)|Simulator|Strategy,80.0,2,,0,2017,3198,3,multi,3,False,1.0986122886681098
17032,Darkwood,2017-08-17,Adventure|Indie|Role-playing (RPG)|Strategy,83.38510836090865,81,79.75,8,2017,3280,3,multi,9,True,4.406719247264253
17112,Creativerse,2017-05-08,Adventure|Indie|Role-playing (RPG)|Simulator,65.12177165125885,19,80.0,1,2017,3381,2,multi,2,False,2.995732273553991
17252,The Culling,2017-10-05,Indie|Shooter,34.92050534877848,7,,0,2017,3231,3,multi,3,False,2.0794415416798357
17555,Black the Fall,2017-07-11,Adventure|Indie|Platform|Puzzle,70.42444093471295,26,71.25,4,2017,3317,3,multi,6,True,3.295836866004329
17583,SpellForce 3,2017-12-07,Real Time Strategy (RTS)|Role-playing (RPG)|Strategy,68.06904584562051,23,74.0,7,2017,3168,1,single,1,False,3.1780538303479458
17828,20XX,2017-08-16,Adventure|Arcade|Indie|Platform|Shooter,70.20078137575109,29,75.33333333333333,3,2017,3281,1,single,4,True,3.4011973816621555
17836,Worlds Adrift,2017-05-24,Adventure|Indie|Role-playing (RPG),60.0,2,,0,2017,3365,1,single,2,True,1.0986122886681098
18147,Mirage: Arcane Warfare,2017-05-23,Hack and slash/Beat 'em up|Indie,50.0,3,72.0,2,2017,3366,1,single,1,False,1.3862943611198906
18166,Rising Storm 2: Vietnam,2017-05-30,Indie|Shooter|Simulator|Strategy,70.19903375499706,38,72.5,2,2017,3359,1,single,1,False,3.6635616461296463
18167,Hello Neighbor,2017-12-08,Adventure|Indie|Puzzle|Role-playing (RPG)|Strategy,46.31438523721646,101,36.75,8,2017,3167,2,multi,9,True,4.624972813284271
18339,Block'hood,2017-05-10,Indie|Puzzle|Simulator|Strategy,60.0,3,75.0,2,2017,3379,3,multi,3,False,1.3862943611198906
18637,Aaero,2017-04-11,Indie|Music|Shooter,69.7912872150823,9,69.66666666666667,3,2017,3408,3,multi,3,False,2.302585092994046
18645,Hand of Fate 2,2017-11-07,Adventure|Card & Board Game|Hack and slash/Beat 'em up|Indie|Role-playing (RPG)|Turn-based strategy (TBS),70.06915714555169,30,76.0909090909091,11,2017,3198,5,multi,6,True,3.4339872044851463
18690,Shadowhand,2017-12-07,Adventure|Card & Board Game|Indie|Role-playing (RPG)|Strategy|Turn-based strategy (TBS),69.73816599851592,5,65.0,2,2017,3168,2,multi,2,False,1.791759469228055
18822,Pyre,2017-07-25,Adventure|Indie|Role-playing (RPG)|Visual Novel,81.54467080698241,130,86.05555555555556,18,2017,3303,4,multi,4,False,4.875197323201151
18857,Ruiner,2017-09-26,Adventure|Indie|Shooter|Strategy,77.46002052673917,123,76.16666666666667,12,2017,3240,5,multi,6,True,4.820281565605037
18860,Beat Cop,2017-03-30,Adventure|Indie|Point-and-click|Puzzle|Simulator,65.08821200823229,35,70.0,6,2017,3420,3,multi,8,True,3.58351893845611
18869,Mages of Mystralia,2017-05-18,Adventure|Indie,75.90179101040127,17,84.0,2,2017,3371,1,single,4,True,2.8903717578961645
18908,Seven: The Days Long Gone,2017-12-01,Adventure|Indie|Role-playing (RPG),66.83905961058984,11,63.33333333333334,6,2017,3174,1,single,1,False,2.4849066497880004
18930,Tokyo 42,2017-05-31,Adventure|Indie|Shooter,60.11188018378185,7,68.5,10,2017,3358,2,multi,3,True,2.0794415416798357
18932,In the Shadows,2017-10-20,Adventure|Arcade|Indie|Platform|Puzzle,70.0,1,,0,2017,3216,3,multi,3,False,0.6931471805599453
18976,Iron Marines,2017-09-14,Indie|Real Time Strategy (RTS)|Strategy,68.49433755800123,9,,0,2017,3252,2,multi,5,True,2.302585092994046
